Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 10:34:15,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495511266,0
2025-09-09 10:34:08,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,AV,1582106279898,2495663083,0
2025-09-09 10:34:01,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,AM,1582106279898,2495367740,0
2025-09-09 10:33:59,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,UX,1582070507340,2495429703,0
2025-09-09 10:33:57,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AA,AV,UA",1582070507340,2495523802,0
2025-09-09 10:33:55,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AA,AC",1582070507340,2495636252,0
2025-09-09 10:33:52,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AM,UA",1582070507340,2495617222,0
2025-09-09 10:33:49,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AA,AV,UA",1582070507340,2495424597,0
2025-09-09 10:33:47,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AA,AC",1582070507340,2495415607,0
2025-09-09 10:33:42,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,"AM,UA",1582070507340,2495261834,0
2025-09-09 10:33:37,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,CM,1582070507340,2495737009,0
2025-09-09 10:33:25,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,LA,1582070507340,2495451563,0
2025-09-09 10:33:12,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,LA,1582070507340,2495393993,0
2025-09-09 10:33:11,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,CM,1582070507340,2495611587,0
2025-09-09 10:33:07,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,LA,1582070507340,2495477633,0
2025-09-09 10:33:04,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,LA,1582070507340,2495657043,0
2025-09-09 10:32:47,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,LA,1582070507340,2495737003,0
2025-09-09 10:32:45,booking_co,booking,Cancun,Buenos Aires,One-Way,2025-09-10,,1,0,0,Y,,2445,UA,1582070507340,2495415601,0
